Município;classificação
Abaetetuba;BOA
Anajás;BOA
Augusto Corrêa;BOA
Barcarena;BOA
Cametá;BOA
Castanhal;BOA
Igarapé-Açu;BOA
Mãe do Rio;BOA
Marabá;BOA
Maracanã;BOA
Moju;BOA
Pacajá;BOA
Palestina do Pará;BOA
Parauapebas;BOA
Redenção;BOA
Salvaterra;BOA
Santa Maria das Barreiras;BOA
Santarém;BOA
São Caetano de Odivelas;BOA
São Félix do Xingu;BOA
Tracuateua;BOA
Abel Figueiredo;INTERMEDIARIA
Afuá;INTERMEDIARIA
Almeirim;INTERMEDIARIA
Altamira;INTERMEDIARIA
Ananindeua;INTERMEDIARIA
Anapu;INTERMEDIARIA
Aurora do Pará;INTERMEDIARIA
Baião;INTERMEDIARIA
Belém;INTERMEDIARIA
Belterra;INTERMEDIARIA
Benevides;INTERMEDIARIA
Bom Jesus do Tocantins;INTERMEDIARIA
Bragança;INTERMEDIARIA
Brasil Novo;INTERMEDIARIA
Breves;INTERMEDIARIA
Bujaru;INTERMEDIARIA
Cachoeira do Arari;INTERMEDIARIA
Cachoeira do Piriá;INTERMEDIARIA
Canaã dos Carajás;INTERMEDIARIA
Capanema;INTERMEDIARIA
Capitão Poço;INTERMEDIARIA
Chaves;INTERMEDIARIA
Colares;INTERMEDIARIA
Conceição do Araguaia;INTERMEDIARIA
Concórdia do Pará;INTERMEDIARIA
Cumaru do Norte;INTERMEDIARIA
Curralinho;INTERMEDIARIA
Curuá;INTERMEDIARIA
Dom Eliseu;INTERMEDIARIA
Eldorado do Carajás;INTERMEDIARIA
Faro;INTERMEDIARIA
Floresta do Araguaia;INTERMEDIARIA
Garrafão do Norte;INTERMEDIARIA
Inhangapi;INTERMEDIARIA
Ipixuna do Pará;INTERMEDIARIA
Irituia;INTERMEDIARIA
Itaituba;INTERMEDIARIA
Itupiranga;INTERMEDIARIA
Jacareacanga;INTERMEDIARIA
Juruti;INTERMEDIARIA
Limoeiro do Ajuru;INTERMEDIARIA
Magalhães Barata;INTERMEDIARIA
Marituba;INTERMEDIARIA
Medicilândia;INTERMEDIARIA
Mocajuba;INTERMEDIARIA
Mojuí dos Campos;INTERMEDIARIA
Muaná;INTERMEDIARIA
Nova Ipixuna;INTERMEDIARIA
Nova Timboteua;INTERMEDIARIA
Novo Progresso;INTERMEDIARIA
Novo Repartimento;INTERMEDIARIA
Óbidos;INTERMEDIARIA
Oeiras do Pará;INTERMEDIARIA
Oriximiná;INTERMEDIARIA
Ourém;INTERMEDIARIA
Paragominas;INTERMEDIARIA
Peixe-Boi;INTERMEDIARIA
Piçarra;INTERMEDIARIA
Ponta de Pedras;INTERMEDIARIA
Portel;INTERMEDIARIA
Porto de Moz;INTERMEDIARIA
Prainha;INTERMEDIARIA
Rondon do Pará;INTERMEDIARIA
Rurópolis;INTERMEDIARIA
Salinópolis;INTERMEDIARIA
Santa Bárbara do Pará;INTERMEDIARIA
Santa Luzia do Pará;INTERMEDIARIA
Santa Maria do Pará;INTERMEDIARIA
Santana do Araguaia;INTERMEDIARIA
Santo Antônio do Tauá;INTERMEDIARIA
São Domingos do Araguaia;INTERMEDIARIA
São João da Ponta;INTERMEDIARIA
São João de Pirabas;INTERMEDIARIA
São Miguel do Guamá;INTERMEDIARIA
São Sebastião da Boa Vista;INTERMEDIARIA
Sapucaia;INTERMEDIARIA
Soure;INTERMEDIARIA
Terra Alta;INTERMEDIARIA
Terra Santa;INTERMEDIARIA
Trairão;INTERMEDIARIA
Ulianópolis;INTERMEDIARIA
Vigia;INTERMEDIARIA
Viseu;INTERMEDIARIA
Vitória do Xingu;INTERMEDIARIA
Ourilândia do Norte;RUIM
Pau D'Arco;RUIM
Placas;RUIM
Primavera;RUIM
Quatipuru;RUIM
Rio Maria;RUIM
Santa Izabel do Pará;RUIM
Santarém Novo;RUIM
São Domingos do Capim;RUIM
São Francisco do Pará;RUIM
São João do Araguaia;RUIM
Senador José Porfírio;RUIM
Tailândia;RUIM
Tomé-Açu;RUIM
Tucumã;RUIM
Tucuruí;RUIM
Uruará;RUIM
Xinguara;RUIM
