CD_MUN,Municipio,UF,Classificacao
1500107,Abaetetuba,Pará,BOA
1500131,Abel Figueiredo,Pará,INTERMEDIÁRIA
1500206,Acará,Pará,RUIM
1500305,Afuá,Pará,INTERMEDIÁRIA
1500347,Água Azul do Norte,Pará,RUIM
1500404,Alenquer,Pará,RUIM
1500503,Almeirim,Pará,INTERMEDIÁRIA
1500602,Altamira,Pará,INTERMEDIÁRIA
1500701,Anajás,Pará,BOA
1500800,Ananindeua,Pará,INTERMEDIÁRIA
1500859,Anapu,Pará,INTERMEDIÁRIA
1500909,Augusto Corrêa,Pará,BOA
1500958,Aurora do Pará,Pará,INTERMEDIÁRIA
1501006,Aveiro,Pará,RUIM
1501105,Bagre,Pará,RUIM
1501204,Baião,Pará,INTERMEDIÁRIA
1501253,Bannach,Pará,RUIM
1501303,Barcarena,Pará,BOA
1501402,Belém,Pará,INTERMEDIÁRIA
1501451,Belterra,Pará,INTERMEDIÁRIA
1501501,Benevides,Pará,INTERMEDIÁRIA
1501576,Bom Jesus do Tocantins,Pará,INTERMEDIÁRIA
1501600,Bonito,Pará,RUIM
1501709,Bragança,Pará,INTERMEDIÁRIA
1501725,Brasil Novo,Pará,INTERMEDIÁRIA
1501758,Brejo Grande do Araguaia,Pará,RUIM
1501782,Breu Branco,Pará,RUIM
1501808,Breves,Pará,INTERMEDIÁRIA
1501907,Bujaru,Pará,INTERMEDIÁRIA
1502004,Cachoeira do Arari,Pará,INTERMEDIÁRIA
1501956,Cachoeira do Piriá,Pará,INTERMEDIÁRIA
1502103,Cametá,Pará,BOA
1502152,Canaã dos Carajás,Pará,INTERMEDIÁRIA
1502202,Capanema,Pará,INTERMEDIÁRIA
1502301,Capitão Poço,Pará,INTERMEDIÁRIA
1502400,Castanhal,Pará,BOA
1502509,Chaves,Pará,INTERMEDIÁRIA
1502608,Colares,Pará,INTERMEDIÁRIA
1502707,Conceição do Araguaia,Pará,INTERMEDIÁRIA
1502756,Concórdia do Pará,Pará,INTERMEDIÁRIA
1502764,Cumaru do Norte,Pará,INTERMEDIÁRIA
1502772,Curionópolis,Pará,RUIM
1502806,Curralinho,Pará,INTERMEDIÁRIA
1502855,Curuá,Pará,INTERMEDIÁRIA
1502905,Curuçá,Pará,RUIM
1502939,Dom Eliseu,Pará,INTERMEDIÁRIA
1502954,Eldorado do Carajás,Pará,INTERMEDIÁRIA
1503002,Faro,Pará,INTERMEDIÁRIA
1503044,Floresta do Araguaia,Pará,INTERMEDIÁRIA
1503077,Garrafão do Norte,Pará,INTERMEDIÁRIA
1503093,Goianésia do Pará,Pará,RUIM
1503101,Gurupá,Pará,RUIM
1503200,Igarapé-Açu,Pará,BOA
1503309,Igarapé-Miri,Pará,RUIM
1503408,Inhangapi,Pará,INTERMEDIÁRIA
1503457,Ipixuna do Pará,Pará,INTERMEDIÁRIA
1503507,Irituia,Pará,INTERMEDIÁRIA
1503606,Itaituba,Pará,INTERMEDIÁRIA
1503705,Itupiranga,Pará,INTERMEDIÁRIA
1503754,Jacareacanga,Pará,INTERMEDIÁRIA
1503804,Jacundá,Pará,RUIM
1503903,Juruti,Pará,INTERMEDIÁRIA
1504000,Limoeiro do Ajuru,Pará,INTERMEDIÁRIA
1504059,Mãe do Rio,Pará,BOA
1504109,Magalhães Barata,Pará,INTERMEDIÁRIA
1504208,Marabá,Pará,BOA
1504307,Maracanã,Pará,BOA
1504406,Marapanim,Pará,RUIM
1504422,Marituba,Pará,INTERMEDIÁRIA
1504455,Medicilândia,Pará,INTERMEDIÁRIA
1504505,Melgaço,Pará,RUIM
1504604,Mocajuba,Pará,INTERMEDIÁRIA
1504703,Moju,Pará,BOA
1504752,Mojuí dos Campos,Pará,INTERMEDIÁRIA
1504802,Monte Alegre,Pará,RUIM
1504901,Muaná,Pará,INTERMEDIÁRIA
1504950,Nova Esperança do Piriá,Pará,INTERMEDIÁRIA
1504976,Nova Ipixuna,Pará,INTERMEDIÁRIA
1505007,Nova Timboteua,Pará,INTERMEDIÁRIA
1505031,Novo Progresso,Pará,INTERMEDIÁRIA
1505064,Novo Repartimento,Pará,INTERMEDIÁRIA
1505106,Óbidos,Pará,INTERMEDIÁRIA
1505205,Oeiras do Pará,Pará,INTERMEDIÁRIA
1505304,Oriximiná,Pará,INTERMEDIÁRIA
1505403,Ourém,Pará,INTERMEDIÁRIA
1505437,Ourilândia do Norte,Pará,RUIM
1505486,Pacajá,Pará,BOA
1505494,Palestina do Pará,Pará,BOA
1505502,Paragominas,Pará,INTERMEDIÁRIA
1505536,Parauapebas,Pará,BOA
1505551,Pau D'Arco,Pará,RUIM
1505601,Peixe-Boi,Pará,INTERMEDIÁRIA
1505635,Piçarra,Pará,INTERMEDIÁRIA
1505650,Placas,Pará,RUIM
1505700,Ponta de Pedras,Pará,INTERMEDIÁRIA
1505809,Portel,Pará,INTERMEDIÁRIA
1505908,Porto de Moz,Pará,INTERMEDIÁRIA
1506005,Prainha,Pará,INTERMEDIÁRIA
1506104,Primavera,Pará,RUIM
1506112,Quatipuru,Pará,RUIM
1506138,Redenção,Pará,BOA
1506161,Rio Maria,Pará,RUIM
1506187,Rondon do Pará,Pará,INTERMEDIÁRIA
1506195,Rurópolis,Pará,INTERMEDIÁRIA
1506203,Salinópolis,Pará,INTERMEDIÁRIA
1506302,Salvaterra,Pará,BOA
1506351,Santa Bárbara do Pará,Pará,INTERMEDIÁRIA
1506401,Santa Cruz do Arari,Pará,SEM CLASSIFICAÇÃO
1506500,Santa Izabel do Pará,Pará,RUIM
1506559,Santa Luzia do Pará,Pará,INTERMEDIÁRIA
1506583,Santa Maria das Barreiras,Pará,BOA
1506609,Santa Maria do Pará,Pará,INTERMEDIÁRIA
1506708,Santana do Araguaia,Pará,INTERMEDIÁRIA
1506807,Santarém,Pará,BOA
1506906,Santarém Novo,Pará,RUIM
1507003,Santo Antônio do Tauá,Pará,INTERMEDIÁRIA
1507102,São Caetano de Odivelas,Pará,BOA
1507151,São Domingos do Araguaia,Pará,INTERMEDIÁRIA
1507201,São Domingos do Capim,Pará,RUIM
1507300,São Félix do Xingu,Pará,BOA
1507409,São Francisco do Pará,Pará,RUIM
1507458,São Geraldo do Araguaia,Pará,SEM CLASSIFICAÇÃO
1507466,São João da Ponta,Pará,INTERMEDIÁRIA
1507474,São João de Pirabas,Pará,INTERMEDIÁRIA
1507508,São João do Araguaia,Pará,RUIM
1507607,São Miguel do Guamá,Pará,INTERMEDIÁRIA
1507706,São Sebastião da Boa Vista,Pará,INTERMEDIÁRIA
1507755,Sapucaia,Pará,INTERMEDIÁRIA
1507805,Senador José Porfírio,Pará,RUIM
1507904,Soure,Pará,INTERMEDIÁRIA
1507953,Tailândia,Pará,RUIM
1507961,Terra Alta,Pará,INTERMEDIÁRIA
1507979,Terra Santa,Pará,INTERMEDIÁRIA
1508001,Tomé-Açu,Pará,RUIM
1508035,Tracuateua,Pará,BOA
1508050,Trairão,Pará,INTERMEDIÁRIA
1508084,Tucumã,Pará,RUIM
1508100,Tucuruí,Pará,RUIM
1508126,Ulianópolis,Pará,INTERMEDIÁRIA
1508159,Uruará,Pará,RUIM
1508209,Vigia,Pará,INTERMEDIÁRIA
1508308,Viseu,Pará,INTERMEDIÁRIA
1508357,Vitória do Xingu,Pará,INTERMEDIÁRIA
1508407,Xinguara,Pará,RUIM
